SSB,17/04/2023	0 	15,650,000 	31.35 (0.16 %)    	0 	15,650,000 	0 	0 	97,837,150 	0.20% 
SSB,14/04/2023	500 	15,650,000 	31.3 (-0.32 %)    	500 	15,650,000 	0 	0 	97,835,450 	0.20% 
SSB,13/04/2023	-900 	-28,215,000 	31.35 (-0.16 %)    	800 	25,080,000 	1,700 	53,295,000 	97,835,950 	0.20% 
SSB,12/04/2023	0 	-81,380,000 	31.35 (-0.16 %)    	0 	0 	0 	81,380,000 	97,836,750 	0.20% 
SSB,11/04/2023	0 	-81,380,000 	31.35 (0.16 %)    	0 	0 	0 	81,380,000 	97,834,050 	0.20% 
SSB,10/04/2023	-2,600 	-81,380,000 	31.3 (0.00 %)    	0 	0 	2,600 	81,380,000 	97,811,150 	0.21% 
SSB,07/04/2023	-22,900 	-716,770,000 	31.3 (-0.32 %)    	0 	0 	22,900 	716,770,000 	97,802,450 	0.21% 
SSB,06/04/2023	-6,600 	-206,910,000 	31.35 (-0.79 %)    	2,100 	65,835,000 	8,700 	272,745,000 	97,788,750 	0.21% 
SSB,05/04/2023	41,100 	1,296,705,000 	31.55 (0.16 %)    	54,800 	1,728,940,000 	13,700 	432,235,000 	97,778,950 	0.21% 
SSB,04/04/2023	1,390 	43,785,000 	31.5 (-0.32 %)    	13,290 	418,635,000 	11,900 	374,850,000 	97,822,350 	0.21% 
SSB,03/04/2023	-11,400 	-360,240,000 	31.6 (0.32 %)    	0 	0 	11,400 	360,240,000 	97,807,840 	0.21% 
SSB,31/03/2023	-27,800 	-874,310,000 	31.45 (-0.16 %)    	0 	0 	27,800 	874,310,000 	97,798,540 	0.21% 
SSB,30/03/2023	-9,300 	-292,485,000 	31.45 (0.16 %)    	0 	0 	9,300 	292,485,000 	97,790,640 	0.21% 
SSB,29/03/2023	-7,900 	-248,060,000 	31.4 (-0.32 %)    	0 	0 	7,900 	248,060,000 	97,785,640 	0.21% 
SSB,28/03/2023	-2,700 	-85,050,000 	31.5 (-0.63 %)    	2,300 	72,450,000 	5,000 	157,500,000 	97,719,940 	 
SSB,27/03/2023	1,700 	53,890,000 	31.7 (0.00 %)    	1,700 	53,890,000 	0 	0 	97,717,240 	0.21% 
SSB,24/03/2023	-9,400 	-297,240,000 	31.7 (-1.55 %)    	0 	0 	9,400 	297,240,000 	97,718,940 	0.21% 
